0
""
"Bijelic v. Montenegro and Serbia, no. 11890/05, 28 April 2009"
"Armoniene v. Lithuania, no. 36919/02, 25 November 2008"
"G. v. the Federal Republic of Germany, no. 13079/87, Commission decision of 6 March 1989"
"Bingöl v. Turkey, no 36141/04, 22 June 2010"
"Tselika-Skourti c. Greece, no 44685/07, 28 May 2009"
"Talat Tepe v. Turkey, no. 31247/96, 21 December 2004"
"Gebremedhin [Gaberamadhian] c. France (déc.), no 25389/05, § 56, 10 octobre 2006"
"Eur. Court H.R. Thynne, Gunnell and Wilson judgment of 25 October 1990, Series A no. 190"
"Minelli judgment of 25 March 1983, Series A no. 62, pp. 18 para. 37"
"Belevitskiy v. Russia, no. 72967/01, § 77, 1 March 2007"
"Ibragimov and Others v. Russia, no. 34561/03, § 99, 29 May 2008"
"Chavdarov v. Bulgaria, no 3465/03, §§ 46 à 48, 21 December 2010"
"Artico v. Italy, 13 May 1980, § 32, Series A no 37"
"Puig Panella v. Spain, no 1483/02, § 51, 25 April 2006"
"Mitchell v. the United Kingdom (dec.), no. 40447/98, 24 November 1998"
"Taskin and Others v. Turkey, no 46117/99, § 136, ECHR 2004-X"
"Aydin Tatlav v. Turkey, no. 50692/99, 2 May 2006"
"NA. v. the United Kingdom, no 25904/07, § 109, 17 July 2008"
"Bernard v. France, 23 April 1998, § 37, Reports of Judgments and Decisions 1998-II"
"Umlauft v. Austria, 23 October 1995, § 37, Series A no 328-B"
"Saunders v. the United Kingdom, 17 December 1996, §§ 68-69, Reports 1996-VI"
"Wells v. the United Kingdom (dec.), no 37794/05"
"Tanase v. Romania, no 5269/02, § 81, 12 May 2009"
"Hachette Filipacchi Associés (ICI PARIS) v. France, no 12268/03, § 41, 23 July 2009"
"Mikheyeva v. Latvia (dec.), no 50029/99, 12 September 2002"
"Stoyanova-Tsakova v. Bulgaria, no. 17967/03, § 26, 25 June 2009"
"Stec and Others v. the United Kingdom (dec.) [GC], nos. 65731/01 and 65900/01, §§ 39 and 54, ECHR 2005-X"
"Richart-Luna c. France, no 48566/99, § 47, 8 April 2003"
"Case “relating to certain aspects of the laws on the use of languages in education in Belgium” (merits), 23 July 1968, §§ 3-5, Series A no 6"
"Berhani v. Albania, no. 847/05, § 46, 27 May 2010"
"Dedovskiy and Others v. Russia, no. 7178/03, § 90, ECHR 2008 (extracts)"
"Racu v. Moldova (dec.), no. 13136/07, 1 July 2008"
"Zavrel v. the Czech Republic, no 14044/05, § 52, 18 January 2007"
"Van Raalte v. the Netherlands, 21 February 1997, Reports 1997-I"
"Dodov v. Bulgaria, no 59548/00, 17 January 2008"
"Ünal Tekeli v. Turkey, no. 29865/96, § 51 in limine, ECHR 2004-X (extracts)"
"Varnava and Others v. Turkey [GC], nos. 16064/90, 16065/90, 16066/90, 16068/90, 16069/90, 16070/90, 16071/90, 16072/90 and 16073/90, § 229, ECHR 2009"
"Capuano v. Italy, 25 June 1988, § 32, Series A no. 119"
"Ekrem v. Turkey, no 75632/01, 12 June 2007"
"Farbtuhs v. Latvia, no 4672/02, 2 December 2004"
"Evgeniou-Hatzidimitriou v. Greece, no 26487/07, §§ 13 and 16, 1er April 2010"
"Boyle and Ford v. the United Kingdom (dec.), nos. 29949/07 and 33213/07, 22 June 2010, § 49"
"Bugajny and Others v. Poland, no. 22531/05, §§ 57-61, 6 November 2007"
"Neulinger and Shuruk v. Switzerland [GC], no 41615/07, § 140, ECHR 2010-...,"
"Jiga v. Romania, no 14352/04, 16 March 2010"
"Yusupova and Zaurbekov v. Russia, no. 22057/02, § 52, 9 October 2008"
"Mubilanzila Mayeka et Kaniki Mitunga c. Belgique, no 13178/03, § 48 et § 53, 12 octobre 2006"
"H. v. France, 24 October 1989, § 58, Series A no. 162-A"
"Koktysh v. Ukraine, no. 43707/07, 10 December 2009"
"Jamil v. France, 8 June 1995, Series A no. 317-B"
"Maire v. Portugal, no 48206/99, § 76, ECHR 2003-VII"
"Mehmet and Suna Yigit v. Turkey, no. 52658/99, 17 July 2007"
"Aziz v. Cyprus, no. 69949/01, § 28, ECHR 2004-V"
"Sejdic and Finci v. Bosnia and Herzegovina [GC], nos. 27996/06 and 34836/06, §§ 43-44, ECHR 2009"
"Ž. v. Latvia, no. 14755/03, §§ 72-75, 24 January 2008"
"Tucka (No. 1) v. the United Kingdom (dec.), no. 34586/10, 18 January 2011"
"Adolf v. Austria, 26 March 1982, §§ 38-40, Series A no. 49"
"Campbell and Fell v. the United Kingdom, 28 June 1984, § 78, Series A no 80"
"Hazar and Others v. Turkey (dec.), no. 62566/00, 10 January 2002"
"Vilho Eskelinen and Others v. Finland [GC], no. 63235/00, § 41, ECHR 2007-IV"
"Al-Skeini and Others v. the United Kingdom ([GC], no. 55721/07, 7 July 2011 ECHR 2011-..."
"Öcalan v. Turkey [GC], no. 46221/99, § 210 in fine, ECHR 2005-IV"
"Ladent v. Poland, no. 11036/03, § 45, ECHR 2008-..."
"Schiesser c. Switzerland, 4 December 1979, § 31, Series A no 34"
"Keegan v. Ireland, 26 May 1994, § 49, Series A no 290"
"Cocchiarella v. Italy [GC], no. 64886/01, §§ 71 et 96, 97, ECHR 2006-V"
"No. 8233/78, Dec. 3.10.79, D.R. 17 p. 122"
"Caloc v. France, no. 33951/96, §§ 84 and 98, ECHR 2000 IX"
"Sürmeli v. Germany [GC], no. 75529/01, § 137, ECHR 2006-VII"
"Gratzinger and Gratzingerova v. the Czech Republic [GC] (dec.), no. 39794/98, § 73, ECHR 2002-VII"
"Herczegfalvy v. Austria, 24 September 1992, §§ 82-83, Series A no. 244"
"Eerikäinen and Others v. Finland, no. 3514/02, § 60, 10 February 2009"
"Hutchison Reid v. the United Kingdom, no. 50272/99, § 47, ECHR 2003-IV"
"Castillo Algar v. Spain, 28 October 1998, Reports 1998-VIII, § 45"
"Bojinov v. Bulgaria, no 47799/99, § 36, 28 October 2004"
"Xavier Da Silveira v. France, no 43757/05, § 36-37 and 43, 21 January 2010"
"Elsholz c. Germany [GC], no 25735/94, § 43, ECHR 2000-VIII"
"Nagovitsyn and Nalgiyev v. Russia, nos 27451/09 and 60650/09, 23 September 2010"
"E.S. v. France (dec.), no 49714/06, 10 February 2009"
"Abdülsamet Yaman v. Turkey, no 32446/96, § 55, 2 November 2004"
"Iamandi v. Romania, no. 25867/03, § 49, 1 June 2010"
"Schwarzkopf and Taussik v. the Czech Republic (dec.), no 2162/02, 2 December 2008"
"Kozinets v. Ukraine, no. 75520/01, §§ 61-65, 6 December 2007"
"Karahalios v. Greece, no 62503/00, § 23, 11 December 2003"
"Konrad v. Germany (dec.), no 35504/03, 11 September 2006"
"Welch v. the United Kingdom, 9 February 1995, §§ 27-28, Series A no 307-A"
"Kucera v. Slovakia, no. 48666/99, § 94, ECHR 2007 IX"
"Cudak v. Lithuania [GC], no. 15869/02, § 79, 23 March 2010"
"Pedovic v. the Czech Republic, no. 27145/03, § 34, 18 July 2006"
"Buczkiewicz v. Poland, no10446/03, 26 February 2008"
"Caka v. Albania, no. 44023/02, §§ 112-116, 8 December 2009"
"König v. Germany, 28 June 1978, Series A no. 27"
"Sekanina v. Austria, 25 August 1993, § 25, Series A no 266-A"
"Vasileva v. Denmark, no. 52792/99, §§ 37 and 38, 25 September 2003"
"Saadi v. Italy, [GC], no 37201/06, ECHR 2008-..."
"Wieser and Bicos Beteiligungen GmbH v. Austria, no. 74336/01, §§ 62-66, ECHR 2007-XI"
"Boyle and Rice c. the United Kingdom, 27 April 1988, § 52, Series A no 131"
"Avsar v. Turkey, no. 25657/94, ECHR 2001-VII"
"S and Marper v. the United Kingdom, [GC], applications nos. 30562/04 and 30566/04, 4 December 2008, §§ 101-102"
"Almeida Azevedo v. Portugal, no 43924/02, § 30, 23 January 2007"
"Raza v. Bulgaria, no. 31465/08, § 88, 11 February 2010"
"Rodrigues da Silva and Hoogkamer v. the Netherlands, no. 50435/99, § 39, ECHR 2006-I"
"Poitrimol v. France, 23 November 1993, § 29, Series A no. 277-A"
"Kopecký v. Slovakia [GC], no 44912/98, §§ 35 and 48-52, ECHR 2004-IX"
"R. Kacapor and Others v. Serbia, nos. 2269/06, 3041/06, 3042/06, 3043/06, 3045/06 and 3046/06, 15 January 2008, §§ 71-76"
"Mežnaric v. Croatia, no. 71615/01, § 32, 15 July 2005"
"Ziya Çevik v. Turkey, no 19145/08, § 36, 21 June 2011"
"X and Y v. Sweden, no. 7376/76, Commission decision of 7 October 1976, Decisions and Reports (DR) 7, p. 123"
"Streletz, Kessler et Krenz c. Allemagne [GC], nos 34044/96, 35532/97 et 44801/98, § 49, CEDH 2001-II"
"Salduz v. Turkey [GC], no. 36391/02, § 72, 27 November 2008"
"Gebremedhin v. France, no 25389/05, decision of 10 October 2006"
"Deweer v. Belgium judgment of 27 February 1980, Series A no. 35"
"Roche v. the United Kingdom [GC], no. 32555/96, § 137, ECHR 2005-X"
"Domalewski v. Poland (dec.), no 34610/97, ECHR 1999-V"
"News Verlags GmbH & Co.KG v. Austria, no. 31457/96, § 54, ECHR 2000-I"
"McKerr v. the United Kingdom (no. 28883/95, ECHR 2001-III)"
"Kobelyan v. Georgia, no. 40022/05, § 14, 16 July 2009"
"Labita v. Italy [GC], no. 26772/95, , ECHR 2000-IV"
"Carlson v. Switzerland, no 49492/06, §§ 69-70, 6 November 2008"
"Incal v. Turkey, 9 June 1998, § 54, Reports 1998-IV"
"López Ostra v. Spain (9 December 1994, Series A no 303-C"
"Zenin v. Russia (dec.), no. 15413/03, 24 September 2009"
"Ribitsch v. Austria, 4 December 1995, § 32, Series A no 336"
"Jurjevs v. Latvia, no. 70923/01, § 43, 15 June 2006"
"Sporrong and Lönnroth v. Sweden, 23 September 1982, Series A no 52, p. 24"
"Zarb Adami v. Malta, no. 17209/02, § 43, 44, and 45 ECHR 2006-VIII"
"Nikula v. Finland, no 31611/96, ECHR 2002-II"
"Paturel c. France, no. 54968/00, § 30, 22 December 2005"
"Mark v. Germany (dec.), no 45989/99"
"Glasenapp v. Germany, 28 August 1986, § 48, Series A no 104"
"Pellegrin v. France [GC], no. 28541/95, § 66, ECHR 1999-VIII"
"Kyprianou v. Cyprus [GC], no 73797/01, § 171, ECHR 2005-XIII"
"Larkos v. Cyprus [GC], no. 29515/95, ECHR 1999-I"
"Beneficio Cappella Paolini v. San Marino, no. 40786/98, § 33, ECHR 2004-VIII"
"Rees v. the United Kingdom, 17 October 1986, § 50, Series A no. 106"
"Scollo v. Italy, judgment of 28 September 1995, § 44, Series A no. 315-C"
"Kemevuako v. the Netherlands (dec.), no. 65938/09, 1 June 2010"
"Stašaitis v. Lithuania, no. 47679/99, § 80, 21 March 2002"
"The Sunday Times v. the United Kingdom (no. 1), 26 April 1979, § 62, Series A no. 30"
"G.L. v. Italy, no. 15384/89, Commission decision of 9 May 1994, Decisions and Reports (DR) 77-B, p. decision of 9 May 1994, Decisions and Reports (DR) 77-B, p. 5"
"Svipsta v. Latvia, no 66820/01, ECHR 2006-III"
"Podkolzina c. Latvia, no 46726/99, § 33, ECHR 2002-II"
"Heudens v. Belgium, no. 24630/94, Commission decision of 22 May 1995, unreported"
"Siliadin v. France, no. 73316/01, §§ 115-116, ECHR 2005-VII"
"Farbtuhs v. Latvia, no. 4672/02, 2 December 2004"
"X and the Association Z v. the United Kingdom, no. 4515/70, Commission decision of 12 July 1971, DR 14, p. 538"
"Mamère v. France, no. 12697/03, § 23, ECHR 2006-XIII"
"Scordino v. Italy (no. 1) [GC], no. 36813/97, §§ 148 and 257-258, ECHR 2006-V"
"Ezeh and Connors v. the United Kingdom [GC], nos. 39665/98 and 40086/98, § 86, ECHR 2003-X"
"Salah Sheekh v. the Netherlands, no 1948/04, § 136, ECHR 2007-I (extracts)"
"E. and Others v. the United Kingdom, no 33218/96, 26 November 2002"
"Léger v. France (striking out) [GC], no. 19324/02, § 44, 30 March 2009"
"Ravon and Others v. France, no 18497/03, § 27, 21 February 2008"
"Murphy v. Ireland, no. 44179/98, ECHR 2003-IX (extracts)"
"Schönenberger and Durmaz v. Switzerland, 20 June 1988, Series A no 137"
"Markovic and Others v. Italy [GC], no. 1398/03, § 54, ECHR 2006-XIV"
"Shtukaturov v. Russia, no 44009/05, § 147, 27 March 2008"
"Shukhardin v. Russia, no. 65734/01, § 65-70, 28 June 2007"
"Tourkiki Enosi Xanthis and Others v. Greece, no. 26698/05, § 63, 27 March 2008"
"Elo v. Finland, no. 30742/02, § 35, 26 September 2006"
"C.G. and Others v. Bulgaria, no. 1365/07, § 62, 24 April 2008"
"Selmouni v. France [GC], no 25803/94, § 77, ECHR 1999-V"
"Murray v. the United Kingdom, 28 October 1994, § 91, Series A no. 300-A"
"Succession Kresten Filtenborg Mortensen v. Denmark, (dec.), no 1338/03, ECHR 2006-V"
"Rossitto v. Italy, no 7977/03, § 45, 26 May 2009"
"Slawomir Musial v. Poland, no. 28300/06, § 74, ECHR 2009-... (extracts)"
"Vo v. France [GC], no. 53924/00, §§ 89-90, ECHR 2004-VIII"
"Shilbergs v. Russia, no. 20075/03, §§ 71-79, 17 December 2009"
"No. 4314/69, Dec. 2.2.70, Collection 32 p. 96"
"Vacher v. France, 17 December 1996, § 22, Reports 1996-VI"
"Gubin v. Russia, no. 8217/04, 17 June 2010"
"X v. Austria, no. 9295/81, Commission decision of 6 October 1992, Decisions and Reports (D.R.) 30"
"Tolstoy Miloslavsky v. the United Kingdom, 13 July 1995, § 59, Series A no. 316-B"
"Bota c. Romania (dec.), no. 24057/03, 12 October 2004"
"K. and T. v. Finland [GC], no 25702/94, § 151, ECHR 2001-VII"
"G.K. v. Poland, no. 38816/97, § 98, 20 January 2004"
"Stec and Others v. the United Kingdom (dec.) [GC], nos. 65731/01 and 65900/01, § 48, ECHR 2005-X"
"Potocka and Others v. Poland, no. 33776/96, ECHR 2001-X"
"Kadem v. Malta, no 55263/00, §§ 44-45, 9 January 2003"
"Ceylan v. Turkey [GC], no. 23556/94, §§ 32 and 34, ECHR 1999-IV"
"Kelly and Others v. the United Kingdom, no. 30054/96, § 94, 4 May 2001"
"Eugenia Michaelidou Developments Ltd and Michael Tymvios v. Turkey, no. 16163/90, §§ 15-18, 31 July 2003"
"Incal v. Turkey, 9 June 1998, § 70, Reports 1998-IV"
"“Wirtschafts-Trend” Zeitschriften-Verlags­gesellschaft mbH (no. 2) v. Austria (dec.), no. 62746/00, 14 November 2002"
"Andandonskiy v. Russia, no. 24015/02, § 52, 28 September 2006"
"Vlasov v. Russia, no. 78146/01, § 125, 12 June 2008"
"Tillack v. Belgium, no 20477/05, 27 November 2007"
"Creanga v. Romania [GC], no. 29226/03, § 84, 23 February 2012"
"Kukayev v. Russia, no. 29361/02, §§ 102-106"
"Van de Hurk v. the Netherlands, 19 April 1994, § 66, Series A no. 288"
"Khudobin v. Russia, no. 59696/00, § 108, ECHR 2006-... (extracts)"
"Öcalan v. Turkey [GC], no. 46221/99, § 179, ECHR 2005-IV"
"Djavit An v. Turkey, no 20652/92, ECHR 2003-III"
"No. 10474/83, Dec. 6.5.86, D.R. 47, p. 106"
"Crowther v. the United Kingdom, no. 53741/00, §§ 8 and 26, 1 February 2005"
"Burdov v. Russia, no. 59498/00, § 35, ECHR 2002 III"
"Cvetkovic v. Serbia, no. 17271/04, § 38, 10 June 2008"
"Hilal v. the United Kingdom, no 45276/99, § 60, ECHR 2001-II"
"No. 9310/81, Dec. 16.10.85, D.R."
"Ashingdane v. the United Kingdom, 28 May 1985, § 44, Series A no. 93"
"Stankov and the United Macedonian Organisation Ilinden v. Bulgaria, nos. 29221/95 and 29225/95, § 59, ECHR 2001-IX"
"Alver v. Estonia, no. 64812/01, § 54, 8 November 2005"
"Samoila and Cionca v. Romania, no 33065/03, § 95, 4 March 2008"
"Hasan v. Bulgaria, no. 54323/00, 14 June 2007"
"Draon v. France [GC], no. 1513/03, § 91, 6 October 2005"
"Kapçak v. Turkey, no 22190/05, 22 September 2009"
"Benham v. the United Kingdom, 10 June 1996, § 47, Reports of Judgments and Decisions 1996-III"
"Avsar v. Turkey, no. 25657/94, § 391, ECHR 2001-VII"
"Ignatov v. Russia, no. 27193/02, §§ 115-119, 24 May 2007"
"Stedman v the United Kingdom, application no. 29107/95, decision of 9 April 1997"
"Okkali v. Turkey, no. 52067/99, § 58, ECHR 2006-XII (extracts)"
"Van Melle and Others v. the Netherlands (dec.), no. 19221/08, ECHR 29 September 2009"
"Maršálek v. the Czech Republic, no. 8153/04, § 71, 4 April 2006"
"Zhechev v. Bulgaria, no. 57045/00, § 33, 21 June 2007"
"Willi v. United Kingdom, no. 36042/97, § 39, ECHR 2002-IV"
"N.A. and Others c. Turkey, no 37451/97, § 39, ECHR 2005-X"
"Dulaurans v. France, no. 34553/97, § 33, 21 March 2000"
"Zana v. Turkey, 25 November 1997, § 51, Reports of Judgments and Decisions 1997-VII"
"Serdal Apay v. Turkey (dec.), no. 3964/05, 11 December 2007"
"Rohde v. Denmark, no. 69332/01, § 78, 21 July 2005"
"C.R. v. the United Kingdom, 22 November 1995, Series A no 335-C"
"Bakbak v. Turkey, no. 39812/98, § 41, 1er July 2004"
"Comingersoll S.A. c. Portugal, no 35382/97, § 35, ECHR 2000-IV"
"Stanislav Volkov v. Russia, no. 8564/02, § 40, 15 March 2007"
"Varela Assalino v. Portugal (dec.), no. 64336/01, 25 April 2002"
"Cantoni v. France, judgment of 15 November 1996, Reports 1996-V"
"Holomiov v. Moldova, no. 30649/05, § 121, 7 November 2006"
"Berger and Hüttaler v. Austria, no. 21022/92 and 21023/92, Commission decision of 7 April 1994"
"Nunes Guerreiro v. Luxembourg, no. 33094/07, 5 no.vembre 2009)"
"Farbtuhs v. Latvia, (no. 4672/02, 2 December 2004"
"Ninn-Hansen v. Denmark (dec.), no. 28972/95, p. 351, ECHR 1999-V"
"Assanidze v. Georgia, no. 71503/01, § 137, ECHR 2004-II"
"Bladet Tromsø and Stensaas v. Norway [GC], no. 21980/93, §§ 61-64 ECHR 1999-III"
"Fehr v. Austria, no. 19247/02,§§ 23-26, 3 February 2005"
"Draganschi v. Romania (dec.), no. 40890/04, 18 May 2010"
"V.C. v. Slovakia, no. 18968/07, ECHR 2011 (extracts)"
"Sarban v. Moldavie, no 3456/05, § 99, 4 October 2005"
"Paduraru v. Romania, no. 63252/00, ECHR 2005-XII (extracts)"
"Colozza v. Italy, judgment of 12 February 1985, Series A no 89, § 38"
"Schenk v. Switzerland, judgment of 12 July 1988, Series A no. 140, p. 29, § 45"
"Öcalan v. Turkey [GC], no. 46221/99, §§ 148-49, ECHR 2005-IV"
"Lungoci v. Romania, no. 62710/00, § 55, 26 January 2006"
"Obluk v. Slovakia, no. 69484/01, §§ 48, 51 and 61, 20 June 2006"
"Keenan v. the United Kingdom, no. 27229/95, §§ 89-93, ECHR 2001-III"
"Melnik v. Ukraine, nº 72286/01, §§ 104-106, 28 March 2006"
"Kosmidis and Kosmidou v. Greece, no 32141/04, § 24, 8 November 2007"
"Chamaïev and Others v. Georgia and Russia, no 36378/02, § 293, ECHR 2005-III"
"Plotnikovy v. Russia, no. 43883/02, § 33, 24 February 2005"
"Telegraaf Media Nederland Landelijke Media B.V. and Others v. the Netherlands, no 39315/06, § 86, 22 November 2012"
"Rashed v. the Czech Republic, no. 298/07, 27 November 2008"
"Somogyi v. Italy, no. 67972/01, § 62, ECHR 2004-IV"
"Ledyayeva and Others v. Russia, nos. 53157/99, 53247/99, 53695/00 and 56850/00, 26 October 2006"
"Besseau v. France, no 73893/01, 7 March 2006"
"Karadžic v. Croatia, no 35030/04, §§ 51-54, 15 December 2005"
"Rösslhuber v. Austria, no. 32869/96, § 30, 28 November 2000"
"Fressoz and Roire v. France [GC], no. 29183/95, § 37, ECHR 1999-I"
"No. 10642/83 and 10368/83, Dec. 10.10.85, unpublished"
"L. and V. v. Austria, nos. 39392/98 and 39829/98, ECHR 2003-I"
"Sporrong and Lönnroth v. Sweden, 23 September 1982, §§ 69-74, Series A no. 52"
"Gerger v. Turkey [GC], no. 24919/94, § 69, 8 July 1999"
"Denis Vasilyev v. Russia, no. 32704/04, 17 December 2009"
"Erdagöz v. Turkey, 22 October 1997, § 51, Reports of Judgments and Decisions 1997-VI"
"Le Compte, Van Leuven and De Meyere judgment of 23 June 1981, Series A no. 43, p. 21, para. 47"
"Terra Woningen B.V. v. the Netherlands, 17 December 1996, Reports 1996-VI"
"Sonkaya v. Turkey, no. 11261/03, § 21, 12 February 2008"
"Worm v. Austria, 29 August 1997, § 33, Reports of Judgments and Decisions 1997-V."
"Ladent v. Poland, no. 11036/03, § 45, 18 March 2008"
"Lukanov v. Bulgaria, 20 March 1997, § 40, Reports 1997-II"
"Zubani v. Italy (just satisfaction), no 14025/88, § 23, 16 June 1999"
"Vernillo v. France, 20 February 1991, § 27, Series A no 198"
"Kireev v. Moldova and Russia (dec.), no. 11375/05, 1 July 2008"
"Perote Pellon v. Spain, no. 45238/99, §§ 21 and 51, 25 July 2002"
"Saez Maeso v. Spain, no. 77837/01, § 22, 9 November 2004"
"Pisano v. Italy, no. 36732/97, § 21, 27 July 2000"
"Stafford v. the United Kingdom [GC], no. 46295/99, § 63, ECHR 2002-IV"
"Axen v. Germany, 8 December 1983, Series A no. 72"
"Osmanoglu v. Turkey, no 48804/99, § 45, 24 January 2008"
"Baryshnikova v. Russia (dec.), no. 37390/04, 12 November 2009"
"Lindon, Otchakovsky-Laurens and July v. France [GC], nos. 21279/02 and 36448/02, § 75, ECHR 2007-XI"
"Carson and Others v. the United Kingdom [GC], no. 42184/05, ECHR 2010"
"Van Melle and Others v. the Netherlands (dec.), no 19221/08, 29 September 2009"
"Rasmussen v. Denmark, 28 November 1984, § 41, Series A no. 87"
"Gashi v. Croatia, no. 32457/05, § 40, 13 December 2007"
"Pailot v. France, 22 April 1998, § 57, Reports of Judgments and Decisions 1998-II"
"Van de Hurk v. the Netherlands, 19 April 1994, § 59, Series A no 288"
"Akdas v. Turkey, no 41056/04, 16 February 2010"
"Sofianopoulos and Others v. Greece (dec.), nos. 1977/02, 1988/02 and 1997/02, ECHR 2002-X"
"Akdivar and Others v. Turkey [GC], 16 September 1996, §§ 65-66, Reports of Judgments and Decisions 1996-IV"
"Bensaid v. the United Kingdom, no. 44599/98, ECHR 2001-I"
"Logvinenko v. Russia, no. 44511/04, §§ 45-49, 17 June 2010"
"Waite and Kennedy v. Germany [GC], no 26083/94, § 59, ECHR 1999-I"
"Styranowski v. Poland, 30 October 1998, Reports 1998-VIII"
"Öcalan v. Turkey [GC], no 46221/99, § 210, ECHR 2005-IV"
"Krumpel and Krumpelová v. Slovakia, no. 56195/00, § 43, 5 July 2005"
"Yuldashev v. Russia, no. 1248/09, § 93, 8 July 2010"
"De Cubber v. Belgium, 26 October 1984, Series A no. 86, § 26"
"McFarlane v. Ireland [GC], no. 31333/06, § 107 10 September 2010"
"Rachevi v. Bulgaria, no. 47877/99, § 101, 23 September 2004"
"Autronic AG v. Switzerland, judgment of 22 May 1990, Series A no. 178, p. 23, 47"
"Rushiti v. Austria, no. 28389/95, 21 March 2000"
